trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
100,False,"{'a': 0.5, 'e': 0.9006864000408757}",25,0,-232.1989024435325,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 5}",0
101,False,"{'a': 0.5, 'e': 0.8986274100159476}",30,0,-184.52715475483,"{0: 15, 1: 7, 2: 5, 3: 0, 4: 3}",0
102,False,"{'a': 0.5, 'e': 0.8965457692266626}",25,0,-220.94030332572225,"{0: 13, 1: 1, 2: 7, 3: 0, 4: 4}",0
103,False,"{'a': 0.5, 'e': 0.894441402659411}",20,0,-123.58056097012354,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
104,False,"{'a': 0.5, 'e': 0.8923142335737136}",20,0,-52.34314621481981,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
105,False,"{'a': 0.5, 'e': 0.8901641834588325}",25,0,-75.45737334559502,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
106,False,"{'a': 0.5, 'e': 0.887991171988982}",20,0,-90.15779320387044,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
107,False,"{'a': 0.5, 'e': 0.8857951169770889}",20,1,-49.281917100116885,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.8835759343270444}",25,0,-205.26305435655078,"{0: 14, 1: 1, 2: 6, 3: 0, 4: 4}",0
109,False,"{'a': 0.5, 'e': 0.881333537984392}",20,0,-89.8973110973849,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
110,False,"{'a': 0.5, 'e': 0.879067839885387}",30,2,-168.36273314819715,"{0: 16, 1: 5, 2: 4, 3: 0, 4: 3}",1
111,False,"{'a': 0.5, 'e': 0.8767787499043681}",25,0,-74.0827298815862,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
112,False,"{'a': 0.5, 'e': 0.8744661757993699}",20,12,-36.06873224637328,"{0: 4, 1: 0, 2: 4, 3: 0, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.8721300231559103}",20,2,-29.422383632817855,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.869770195328876}",25,0,-72.06851211251,"{0: 15, 1: 2, 2: 8, 3: 0, 4: 0}",0
115,False,"{'a': 0.5, 'e': 0.8673865933824325}",20,0,-143.3328612555322,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
116,False,"{'a': 0.5, 'e': 0.8649791160278758}",20,0,-69.94194228561436,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
117,False,"{'a': 0.5, 'e': 0.8625476595593422}",20,0,-36.23268795398409,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
118,False,"{'a': 0.5, 'e': 0.8600921177872872}",20,0,-143.46173751739752,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
119,False,"{'a': 0.5, 'e': 0.8576123819696414}",25,0,-86.04696118877538,"{0: 13, 1: 6, 2: 5, 3: 1, 4: 0}",0
120,False,"{'a': 0.5, 'e': 0.8551083407405441}",20,0,-6.724266079083103,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
121,False,"{'a': 0.5, 'e': 0.8525798800365534}",25,14,8.391821681739128,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.8500268830202247}",25,0,-133.68791225530921,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
123,False,"{'a': 0.5, 'e': 0.847449230000944}",20,0,-101.12015036937561,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
124,False,"{'a': 0.5, 'e': 0.844846798352896}",25,0,-146.48375902697668,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
125,False,"{'a': 0.5, 'e': 0.8422194624300448}",20,0,-54.53675452743764,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
126,False,"{'a': 0.5, 'e': 0.8395670934779901}",20,0,-50.37786602870206,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",0
127,False,"{'a': 0.5, 'e': 0.8368895595425665}",30,0,-129.89528636138093,"{0: 20, 1: 3, 2: 4, 3: 1, 4: 2}",0
128,False,"{'a': 0.5, 'e': 0.8341867253750332}",20,0,-112.66579546878177,"{0: 11, 1: 5, 2: 2, 3: 0, 4: 2}",0
129,False,"{'a': 0.5, 'e': 0.8314584523337054}",20,0,-128.838455967087,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
130,False,"{'a': 0.5, 'e': 0.8287045982818613}",25,0,-69.22421593566366,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
131,False,"{'a': 0.5, 'e': 0.8259250174817554}",20,0,-194.50232807138855,"{0: 8, 1: 3, 2: 5, 3: 1, 4: 3}",0
132,False,"{'a': 0.5, 'e': 0.8231195604845571}",20,0,-84.65263141745606,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
133,False,"{'a': 0.5, 'e': 0.8202880740160245}",25,0,-156.62039271766463,"{0: 15, 1: 4, 2: 2, 3: 1, 4: 3}",0
134,False,"{'a': 0.5, 'e': 0.8174304008577097}",25,0,-201.76776345922698,"{0: 11, 1: 5, 2: 5, 3: 1, 4: 3}",0
135,False,"{'a': 0.5, 'e': 0.8145463797234863}",30,0,-150.313071676895,"{0: 19, 1: 3, 2: 4, 3: 2, 4: 2}",0
